번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
206,등록체육시설업,10_31_03_P,6440000,3.02E+14,20200422,,1,영업/정상,1,영업,,,,,419340100,,,충청남도 보령시 남포면 양항리 645번지 5호,충청남도 보령시 남포면 개목수리섬길 196-0,,에스앤골프리조트,2.02E+13,I,23:20.0,,159709.8575,309693.9247,골프장,,,,3,1874.76,,,
207,등록체육시설업,10_31_03_P,6470000,3.02E+14,20211012,,1,영업/정상,1,영업,,,,,,,,경상북도 경주시 천북면 화산리 33번지 11호,경상북도 경주시 천북면 천강로 412-299,,루나엑스컨트리클럽,2.02E+13,I,22:46.0,,,,골프장,,,0,0,12953.79,0,,
208,등록체육시설업,10_31_03_P,6280000,3.02E+14,20211129,,1,영업/정상,1,영업,,,,,,0,,인천광역시 중구 중산동 1955번지 1호,인천광역시 중구 은하수로29번길 36-0 (중산동),,드림아일랜드골프장,2.02E+13,I,22:43.0,,,,골프장,,,0,0,1478360,0,정규대중,
209,등록체육시설업,10_31_03_P,6430000,3.02E+14,20211201,,1,영업/정상,1,영업,,,,,,0,,충청북도 충주시 앙성면 조천리 410번지 1호,충청북도 충주시 앙성면 비내길 189-0,,(주)에스엘세레스 올데이리조트,2.02E+13,U,40:00.0,,,,골프장,,,0,0,4041,0,회원제,
210,등록체육시설업,10_31_03_P,6470000,3.02E+14,20120724,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 외동읍 석계리 산1번지,경상북도 경주시 외동읍 내외로 577-189,,서라벌골프클럽,2.01E+13,I,59:59.0,,405792.3343,246050.8507,골프장,,,,7,10701.03,,정규대중,
211,등록체육시설업,10_31_03_P,6470000,3.02E+14,20130218,,1,영업/정상,1,영업,,,,,,,,경상북도 안동시 성곡동 산 1번지 1호,경상북도 안동시 관광단지로 316 (성곡동),,안동레이크골프클럽,2.02E+13,U,40:00.0,,358773.654,342520.0111,골프장,,,,5,5492.3,0,,
212,등록체육시설업,10_31_03_P,6470000,3.02E+14,20130226,,1,영업/정상,1,영업,,,,,,0,,경상북도 구미시 산동면 인덕리 산 39번지 1호,경상북도 구미시 산동면 강동로 953-73,,골프존카운티선산,2.02E+13,U,40:00.0,,330749.5756,296348.7799,골프장,,,,15,7388.99,,회원제,(주)지씨선산
213,등록체육시설업,10_31_03_P,6470000,3.02E+14,20130226,,1,영업/정상,1,영업,,,,,,0,,경상북도 구미시 산동면 인덕리 산 39번지 1호,경상북도 구미시 산동면 강동로 953-73,,골프존카운티구미,2.02E+13,U,40:00.0,,330749.5756,296348.7799,골프장,,,,53979,4,,정규대중,(주)지씨구미
214,등록체육시설업,10_31_03_P,6470000,3.02E+14,20130829,,1,영업/정상,1,영업,,,,,,,,경상북도 군위군 산성면 운산리 151번지,경상북도 군위군 산성면 부흥로 227,,군위 오펠골프클럽,2.01E+13,I,59:59.0,,351208.6397,291833.6324,골프장,,,,6,6524.54,0,없음,
215,등록체육시설업,10_31_03_P,6470000,3.02E+14,20090805,,1,영업/정상,1,영업,,,,,,,,경상북도 포항시 북구 송라면 상송리 산 48번지,경상북도 포항시 북구 송라면 동해대로2751번길 126,,송라제니스컨트리클럽,2.02E+13,U,40:00.0,,410500.2406,305002.9871,골프장,,,,11,9403.64,0,없음,(주)홍익레져산업 이상규
